Time_Common,Time_LeftAnkle,Abduction-Adduction_LeftAnkle,Internal-External Rotat_LeftAnkle,Flexion-Extension_LeftAnkle,Time_RightAnkle,Abduction-Adduction_RightAnkle,Internal-External Rotat_RightAnkle,Flexion-Extension_RightAnkle,Time_LeftKnee,Abduction-Adduction_LeftKnee,Internal-External Rotat_LeftKnee,Flexion-Extension_LeftKnee,Time_RightKnee,Abduction-Adduction_RightKnee,Internal-External Rotat_RightKnee,Flexion-Extension_RightKnee,Time_LeftHip,Abduction-Adduction_LeftHip,Internal-External Rotat_LeftHip,Flexion-Extension_LeftHip,Time_RightHip,Abduction-Adduction_RightHip,Internal-External Rotat_RightHip,Flexion-Extension_RightHip,Time_LeftShoulder,Abduction-Adduction_LeftShoulder,Internal-External Rotat_LeftShoulder,Flexion-Extension_LeftShoulder,Time_RightShoulder,Abduction-Adduction_RightShoulder,Internal-External Rotat_RightShoulder,Flexion-Extension_RightShoulder,Time_Pelvic,Abduction-Adduction_Pelvic,Internal-External Rotat_Pelvic,Flexion-Extension_Pelvic,Time_Trunk2Ground,Abduction-Adduction_Trunk2Ground,Internal-External Rotat_Trunk2Ground,Flexion-Extension_Trunk2Ground
110603,110603,1.780720444,-9.875690129,-1.502887674,110603,0.320610187,6.309776165,-0.744356966,110603,0.094672169,8.045130783,1.018800037,110603,-2.526197113,-5.852469969,1.751413084,110603,-0.090724326,-3.929967652,5.872853704,110603,-2.142918242,14.8056663,-1.797352134,110603,0.61870395,-27.66323848,2.410375478,110603,3.242207792,60.37640886,1.411218791,110603,0.609686205,9.366796334,5.066819111,110603,0.929352818,-128.208484,-89.45702043
110607,110607,1.809940099,-9.91274165,-1.537898287,110607,0.314066701,6.301665663,-0.743933933,110607,0.105536481,8.032548187,1.035523082,110607,-2.545169815,-5.847205284,1.74398741,110607,-0.11127259,-3.936208866,5.85703201,110607,-2.162978346,14.81476932,-1.803321761,110607,0.595601016,-27.64733971,2.385001734,110607,3.236417847,60.39886173,1.409534801,110607,0.608487164,9.36488435,5.049591722,110607,0.907407299,-128.2146283,-89.45848079
110611,110611,1.854527434,-9.957887199,-1.562834252,110611,0.300859995,6.29582965,-0.730283629,110611,0.105223179,8.013477077,1.05299509,110611,-2.568236509,-5.840244771,1.732126765,110611,-0.135651151,-3.938918727,5.844453222,110611,-2.17834361,14.82483424,-1.80463288,110611,0.578344627,-27.62720782,2.350295712,110611,3.232993672,60.42059034,1.405355699,110611,0.611228136,9.361442462,5.02536862,110611,0.884747802,-128.2206729,-89.46391348
110615,110615,1.893104305,-10.00146845,-1.595371774,110615,0.286810305,6.29204517,-0.713450127,110615,0.110317965,8.006374798,1.064404123,110615,-2.571756843,-5.845523351,1.717717093,110615,-0.163460869,-3.953571565,5.827201376,110615,-2.170610039,14.8451728,-1.809707448,110615,0.547160076,-27.61092069,2.315820117,110615,3.20972301,60.43768704,1.408035802,110615,0.604015718,9.358508871,5.003103576,110615,0.857336715,-128.2256122,-89.46250866
110619,110619,1.91372962,-10.04258616,-1.627782939,110619,0.283792892,6.298295115,-0.694951505,110619,0.123876319,8.00045087,1.077651245,110619,-2.564499499,-5.862250103,1.710071495,110619,-0.185571325,-3.967916238,5.809583285,110619,-2.158560022,14.86412604,-1.807945981,110619,0.520626267,-27.59503804,2.30305324,110619,3.188021156,60.45714658,1.421011364,110619,0.59886269,9.358054418,4.991285564,110619,0.840960681,-128.2321582,-89.45684028
110623,110623,1.906338551,-10.06358022,-1.645664989,110623,0.271982929,6.296424449,-0.68153586,110623,0.159480767,8.009516156,1.069251862,110623,-2.549353592,-5.877528547,1.701945632,110623,-0.206313786,-3.979169685,5.786541964,110623,-2.141739887,14.88127257,-1.809002972,110623,0.489036855,-27.5821823,2.294187781,110623,3.164441877,60.47685291,1.441111947,110623,0.589081862,9.356537751,4.980450811,110623,0.824427037,-128.2379939,-89.44733258
110627,110627,1.894514309,-10.08275732,-1.654641404,110627,0.262540605,6.293594315,-0.672475686,110627,0.199059318,8.019582898,1.061819197,110627,-2.549024088,-5.879728474,1.698993872,110627,-0.227805031,-3.989797184,5.769715846,110627,-2.139789961,14.88568285,-1.795234992,110627,0.456623277,-27.5670733,2.285712149,110627,3.134033637,60.49943995,1.461375398,110627,0.577754419,9.357923878,4.969058794,110627,0.808566018,-128.2466921,-89.43433703
110631,110631,1.886470737,-10.10093538,-1.659258055,110631,0.262220082,6.291522783,-0.65337236,110631,0.192934907,8.0049314,1.066957852,110631,-2.54169902,-5.883081298,1.690519049,110631,-0.216916176,-3.979439996,5.770836037,110631,-2.145458376,14.88414095,-1.780333897,110631,0.439056611,-27.54785918,2.280573935,110631,3.124358663,60.53896166,1.47387799,110631,0.58393211,9.369631174,4.954072467,110631,0.795232781,-128.2618878,-89.43018045
110635,110635,1.874703384,-10.12067064,-1.665623391,110635,0.258505937,6.279126839,-0.632620336,110635,0.186553841,7.988767271,1.068939338,110635,-2.541095087,-5.879136642,1.686846446,110635,-0.209066415,-3.970986907,5.767500401,110635,-2.152129843,14.88011656,-1.765262004,110635,0.420001237,-27.52847453,2.28006761,110635,3.114678604,60.57787239,1.488361251,110635,0.593769719,9.382908177,4.940510746,110635,0.782549315,-128.276948,-89.42649939
110639,110639,1.872301769,-10.13777584,-1.67451105,110639,0.266374016,6.273207164,-0.597317776,110639,0.161840779,7.965523817,1.085064934,110639,-2.531908109,-5.879812508,1.684648813,110639,-0.191590895,-3.961225993,5.766867972,110639,-2.149685328,14.8764626,-1.745226765,110639,0.405793886,-27.50968011,2.271737643,110639,3.112344541,60.61572926,1.496736403,110639,0.600802955,9.39385246,4.924011837,110639,0.771146148,-128.2901236,-89.42717866
